,0,1
tx_count,83.84994956287828,22.09311740890688
eth_sent,55.26796468459986,5.480656262814795
eth_received,20.05453396133154,2.419802293041927
total_volume,75.32249864828513,7.9004585541412204
unique_contracts,23.284549428379286,7.797227749948535
wallet_age_days,185.18285137861469,72.1857613394634
token_tx_count,47.322629455279085,8.281410828244013
stable_volume_usd,53408.976218056494,5367.564371440336
unique_token_contracts,9.287575655682582,2.0203458450559255
gitcoin_donations,8.406186953597848e-05,0.0
