feature,label,T0,T-30,T-60,T-90,avg
buy_collections,NFT Collection Diversity,48.911267913742776,44.23178467085942,41.56945192251673,37.82798538525484,43.13512247309344
unique_interactions,Unique Interactions,6.979870441898442,13.897590655075225,17.60405428029381,22.030227523718374,15.127935725246463
buy_value,Buy Volume (ETH),12.474592268271927,12.043249144793176,11.921100542755498,11.98261719177333,12.105389786898483
tx_count,Total Tx Count,5.284593844620054,5.952611054524022,6.243518543639425,6.387286877641382,5.967002580106221
sell_value,Sell Volume (ETH),5.7456218907929975,5.20132453696533,4.841587061935031,4.4389434132586425,5.056869225738
wallet_age_days,Wallet Age (days),4.922764030099359,4.154929377336886,4.131289868676732,4.030727256636185,4.309927633187291
days_since_last_buy,Recency (days since last buy),3.9340554359746,3.62257313764422,3.434214392750911,3.403794570077481,3.598659384111803
pnl_proxy,PnL Proxy (sell-buy),1.700182426208666,1.71090930578855,1.5286696028487539,1.6601963319706332,1.649989416704151
ratio,NFT Volume Ratio,1.508136726798228,1.490985040691731,1.4488117747303464,1.5177194428391305,1.491413246264859
sell_ratio,Sell Ratio,1.5839134144767353,1.4728069354529054,1.400851963523287,1.3020841627723414,1.4399141190563172
total_trade_count,Total Trade Count,1.6281043991034427,1.3804693160736408,1.3352331468080247,1.294505431009928,1.409578073248759
blend_in_count,Blend Borrow Count,1.9920646425880637,1.5982027899924298,1.022671440110778,0.9322807797363213,1.3863049131068983
sell_count,Sell Count,1.5592575790205645,0.9609322046723607,0.9405552874588265,0.9755886519677934,1.1090834307798862
blend_net_value,Blend Net Value,0.9307131533527444,1.1254951897354144,1.3625065014852689,0.8791239536530814,1.0744596995566273
buy_count,Buy Count,0.6881305566744441,0.9077311916667383,0.9594538861125305,1.1075825761382245,0.9157245526479844
blend_out_count,Blend Repay Count,0.1524738795338785,0.2412326346452962,0.24832864093275683,0.22747548408912666,0.21737765980026455
recent_activity,Active in Last 30 Days,0.004257396843079453,0.007172814082656005,0.007701143421292466,0.0018609674631826036,0.005248080452552632
LP_count,LP Activity Count,0.0,0.0,0.0,0.0,0.0
DeLP_count,DeLP Activity Count,0.0,0.0,0.0,0.0,0.0
