days,f1,f1_std,auc,precision,recall
7,0.6002525356253907,0.004607015361336181,0.8385381105673204,0.6574400615427626,0.552715511919596
14,0.5969290873839483,0.005223984469805671,0.8359009795033219,0.6484412514109744,0.553325627987421
30,0.58998068932045,0.004567877061759098,0.8318812193650229,0.6409101735929746,0.5470114117279653
60,0.5812296616531494,0.005613640131827105,0.8274098259388433,0.6615924321404658,0.5190982773986781
90,0.5671101625386206,0.00489424842666345,0.8247963872725051,0.634352372066145,0.5149222946298788
