window,cutoff,days_before_T0,n_addresses,n_sybil,sybil_rate_pct,auc,f1,precision,recall
T0,2023-11-21,0,251755,9079,3.6062838871124705,0.8832218823236675,0.3777661787514631,0.3548478567706583,0.4051086151867088
T-7,2023-11-14,7,249027,9064,3.6397659691519397,0.8822153055429995,0.376619448089676,0.3544940257039359,0.40467460297167007
T-14,2023-11-07,14,245283,9017,3.676161821243217,0.8803311891269896,0.3726764160285326,0.3388435081652569,0.4165424587992666
T-30,2023-10-22,30,239402,8890,3.713419269680287,0.8805076811150734,0.3738276934713666,0.34527624949284536,0.40854893138357706
T-60,2023-09-22,60,230382,8652,3.7555017319061386,0.8771023298784908,0.37086753674808726,0.3453805315303108,0.4036030494585308
T-90,2023-08-23,90,219516,8320,3.7901565261757684,0.8735252359520974,0.3676599921005734,0.356749412967951,0.3799278846153846
