address,preseason_external_tx,is_new_account,op_count_season2,funder_wallet_count,has_batch_funder,is_hf_by_80pct,bw_flag,ml_flag,fd_flag,hf_flag,any_flag
0xd9fa5f1f1d8d64347b8809e249037ce4c8108175,0,1,0,0,0,0,0,0,0,0,0
0xe0d74a2365861446ab1bcc9f4993931907de9209,714,0,13,0,0,0,0,0,0,0,0
0xdaed79e6094fc8f27fb68df1e3e242e70b71343e,0,1,0,0,0,0,0,0,0,0,0
0x41a35ebe534be6161cdecb96c04dce7bddba2b0a,1000,0,12,0,0,0,0,0,1,0,1
0x47d4e355badf94dd0d71eadd4a383224c2f65f1d,0,1,0,0,0,0,0,0,0,0,0
0x0494fa6325bca9817212ca7fcda2dadbf159fda6,128,0,121,0,0,0,0,0,0,0,0
0x4f04a4034727f9d8fc468e48497e65fa16003c53,435,0,14,0,0,0,0,0,0,0,0
0xecd6711f533fdc1d0aa2d3e83f36f0b00345b9e3,0,1,0,0,0,0,0,0,0,0,0
0x6d3a717ef9854cdba44f033710aa4a627e3e0703,507,0,729,0,0,0,0,0,0,0,0
0xb377fc2e5fe561e79f225584adbd162e15c0f900,0,1,0,0,0,0,0,0,1,0,1
0x138f66b1f3830ad6485a5ba9c85d22c582278d76,1000,0,81,0,0,0,0,0,0,0,0
0xea857ebd988a2399fecab5071ffec511ad4a9f17,0,1,0,0,0,0,0,0,1,0,1
0x32a133ce547ea929794dc11283c8b0f6ef594028,0,1,0,0,0,0,0,0,0,0,0
0x6c03f12368a86f1ee17c250cedc74f05f37acd6d,0,1,0,0,0,0,0,0,0,0,0
0x00a4e361c4c8b6dda5e98a31bf8c1f4a15061407,0,1,0,0,0,0,0,0,0,0,0
0xcbd075e992342018c7822b9abe516c1a866417b2,0,1,0,0,0,0,0,0,0,0,0
0xf14f02d51c6b2be10ac26315da1650cbab31b092,313,0,27,0,0,0,0,0,0,0,0
0x7057ffb324e6a1c75b0facedc7458e6f087e6d73,0,1,0,0,0,0,0,0,0,0,0
0xd36e4e1c0d02fa462a14ecb1a0af123cae752d09,255,0,11,0,0,0,0,0,0,0,0
0x4445ff9c33e01ef7afb7e64b3087fedf8169aa13,0,1,0,0,0,0,0,0,0,0,0
0xe9448d94f5f7ac4af563cf47eb4a906f11632bc6,1000,0,15,0,0,0,0,0,0,0,0
0x30470c93b0cc49a37fde5024c928e9530ffde98a,527,0,20,0,0,0,0,0,0,0,0
0xc5b64d83f22d27a77d96c664062ffff58a0f3997,203,0,27,0,0,0,0,0,0,0,0
0x33a0325240a31bcc0ba34b44cd5373e9ad8aabc8,432,0,58,9,1,0,1,0,0,0,1
0x3b5c0f7c1928960ed1ebb35350e9aa816b0fccc5,0,1,0,0,0,0,0,0,0,0,0
0x0b784f3400e4f2d183c0d73854086a33f9807f9f,0,1,0,0,0,0,0,0,0,0,0
0xf50548eaf53df40f147bfb874c741c65d2aae920,0,1,0,0,0,0,0,0,0,0,0
0x429d39ec366756e18e15ac5b547e1f85a2d76c7b,1000,0,209,0,0,0,0,0,0,0,0
0x095bddfcef6d4cc1b211ce7d727f1b1245a19dce,0,1,0,0,0,0,0,0,0,0,0
0x18d0230037cbcc426d49687f5ae309aa5b9306f2,0,1,117,0,0,1,0,0,0,1,1
0x3ecb3f674283d2b503a5eda24401ee01deb3bcb3,191,0,11,0,0,0,0,0,0,0,0
0x1cb326e4c7ae1b55ebdd561374ef56c0980c351f,0,1,0,0,0,0,0,0,0,0,0
0x010f7f46bad4f1db5c9ed0c12526b08c5e845f1b,0,1,0,0,0,0,0,0,0,0,0
0xd35dae0b85249351f752a3e87d78969927ba693b,759,0,54,0,0,0,0,0,0,0,0
0xb6f16010beb0fa054593823851e68dbaf288dd51,0,1,0,0,0,0,0,0,0,0,0
0xb98d5b9a90442557af0bfeeecfb9e3dae0dd000b,81,0,20,0,0,0,0,0,0,0,0
0xed880218281f8feea1259adcd6d1f1aabb4536e8,0,1,0,0,0,0,0,0,0,0,0
0x1c702f58eefd5f9685b4ad093523d170921e1713,159,0,30,0,0,0,0,0,0,0,0
0xd57c1a5812f1d2d7ff491c362566115f4a54643a,752,0,109,0,0,0,0,0,0,0,0
0xae2e71bdc82f8a73bf196de8d2f6cc5c93150251,0,1,0,0,0,0,0,0,0,0,0
0x5997313aa573c9ceb4d3fa7f5134d2cf6aa2b8c1,0,1,0,0,0,0,0,0,1,0,1
0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,0,1,0,0,0,0,0,0,0,0,0
0x3a00f6171ba7d704f2bb713fd777a9530875fa28,1000,0,111,0,0,0,0,0,0,0,0
0x6c0ce3a0aa73cbe00b07ef623e0efe84a80e5b78,0,1,0,0,0,0,0,0,0,0,0
0xeb15021d246f43bf452f0364a892cd001b198820,161,0,11,0,0,0,0,0,0,0,0
0xf105ffbe4f1dc64c80463b48446463111408726d,0,1,0,0,0,0,0,0,0,0,0
0x0f10236dcb65a322723ad2e467e71ad39514a3b3,0,1,0,0,0,0,0,0,0,0,0
0xeaf9f4f9afe7a1e61549fed36b4f0c4021a44a8a,0,1,0,0,0,0,0,0,1,0,1
0xd5102725cc00421854dd616a2d8769ce36017315,0,1,0,0,0,0,0,0,0,0,0
0x29b39b13bbd03d81e08822f7889c9bef03e9c24e,0,1,0,0,0,0,0,0,1,0,1
0xd6eb9031fccc32067dc3a2f99d03e9ead5743dc5,0,1,103,0,0,1,0,0,0,1,1
0xd316da6e2008f3f3dc9c957c92a8a3b313cb6539,0,1,0,0,0,0,0,0,1,0,1
0xf37a896e0ebf83dadb4dedef66fb3fc521248767,0,1,0,0,0,0,0,0,0,0,0
0x674886f36e5c94302f6fda1945f1a529568612e5,0,1,0,0,0,0,0,0,0,0,0
0xc733240f0b1d300563c2ea490aac0c96078e9675,0,1,0,0,0,0,0,0,0,0,0
0xe16acf486af4bcb6fde2368708558c1eba043047,0,1,0,0,0,0,0,0,0,0,0
0x0fcc5dd545c3642d729c3993d9cac68786e2c062,0,1,0,0,0,0,0,0,0,0,0
0x5c2d36cfe3a183c411034db248f29406c7249365,1000,0,30,0,0,0,0,0,0,0,0
0x0c84f6450e9104ad82559f40ccd056281112bd7d,0,1,0,0,0,0,0,0,0,0,0
0x4ef02b934c0a59c72da0d163da00b77a45cac622,61,0,17,0,0,0,0,0,0,0,0
0xcc8bc05658040b7bc1bae4a57a2e8f3621f03aed,137,0,376,0,0,0,0,0,0,0,0
0x53aaf4d1522ea96dc7a465d6525dd9b12ebf26a7,773,0,55,0,0,0,0,0,0,0,0
0x1d1591b90d5a3d33c8284736054389c0287ea609,653,0,17,0,0,0,0,0,0,0,0
0x7273414f008939baf7d225d9578846305e9127be,0,1,0,0,0,0,0,0,0,0,0
0xf92f571fd4ed497f672d4f37f46ee02eb13b63c8,0,1,0,0,0,0,0,0,0,0,0
0x803ee45673215da9b5e1846365d92c910f42f961,0,1,58,0,0,1,0,0,0,1,1
0xec9cda50cfac87b16a777e758b24a3179c5146ed,0,1,0,0,0,0,0,0,0,0,0
0xed754bcc1e5fac2e0cdded271e727e9c517d49e9,45,0,22,0,0,0,0,0,0,0,0
0x27d343723715a17f9f7315755670551a5314a064,0,1,0,0,0,0,0,0,1,0,1
0xacc2e1716e26b86ff10d9d769cae8a27fe5aebdf,298,0,80,0,0,0,0,0,0,0,0
0xe79f327056f830fc7a62ea32daa29ece65136a2e,0,1,0,8,1,0,1,0,1,0,1
0x9118f45d7ce829e2389a2e79c39ed1866053bb38,0,1,0,0,0,0,0,0,0,0,0
0xbbe30b36eb676eeac610400d247c771d48976ffe,1000,0,52,0,0,0,0,0,0,0,0
0x52137377bca37cd138a57ee0f86d70437f234d79,0,1,0,0,0,0,0,0,0,0,0
0x7f75711881eeb8556065849a57d80937af069059,0,1,78,0,0,1,0,0,0,1,1
0x3114fe8bad632d77868928c8595176d80b5b9594,256,0,89,0,0,0,0,0,0,0,0
0xe578e85f80bf0bd2896caf76ffd993636aa42b57,0,1,0,0,0,0,0,0,0,0,0
0x5a7ad73035f66e5f2f51c3964d14f2c9804b2a24,0,1,0,0,0,0,0,0,0,0,0
0x1e1c91d25d73f460e789b5c26da722137c4ca661,0,1,25,0,0,1,0,0,0,1,1
0xd03d32828c0f08f3f79282b7766321e22cc42658,0,1,0,0,0,0,0,0,0,0,0
0x29154b2ae9be39c7cbbefdf67e10450465563717,1000,0,10,0,0,0,0,0,0,0,0
