k,inertia,silhouette
2,242969.1400782101,0.9836803794424546
3,179997.58792744947,0.8498306132404723
4,128693.99858361387,0.7384955495631392
5,97816.76744833284,0.7478771933470528
6,75659.60930374476,0.771463203547077
7,63478.47507498998,0.7534994520493031
8,54915.689677265706,0.7544375579140261
